A,B,C,D,E
"2012/07/19","8795.55","8795.00","8835.80","8771.19"
"2012/07/20","8669.87","8785.87","8792.19","8662.72"
"2012/07/23","8508.32","8582.28","8606.23","8500.27"
"2012/07/24","8488.09","8497.99","8517.52","8446.18"
"2012/07/25","8365.90","8410.98","8433.58","8328.02"
"2012/07/26","8443.10","8408.22","8448.55","8358.51"
"2012/07/27","8566.64","8547.34","8569.09","8522.74"
"2012/07/30","8635.44","8658.83","8663.30","8589.19"
"2012/07/31","8695.06","8600.92","8732.84","8585.26"
"2012/08/01","8641.85","8622.04","8654.61","8578.16"
"2012/08/02","8653.18","8642.89","8705.91","8635.51"
"2012/08/03","8555.11","8539.71","8565.06","8513.20"
"2012/08/06","8726.29","8683.20","8751.80","8676.25"
"2012/08/07","8803.31","8714.12","8812.42","8711.90"
"2012/08/08","8881.16","8889.38","8962.95","8851.59"
"2012/08/09","8978.60","8870.81","9004.81","8862.17"
"2012/08/10","8891.44","8931.92","8954.85","8857.23"
"2012/08/13","8885.15","8871.68","8906.21","8867.63"
"2012/08/14","8929.88","8913.70","8970.99","8897.87"
"2012/08/15","8925.04","8960.28","8960.28","8866.06"
"2012/08/16","9092.76","8967.11","9094.09","8962.97"
"2012/08/17","9162.50","9120.22","9181.57","9097.00"
"2012/08/20","9171.16","9202.36","9222.87","9150.79"
"2012/08/21","9156.92","9165.15","9196.67","9146.07"
"2012/08/22","9131.74","9150.69","9162.97","9075.08"
"2012/08/23","9178.12","9080.67","9194.47","9062.54"
"2012/08/24","9070.76","9069.95","9090.67","9045.79"
"2012/08/27","9085.39","9140.41","9150.48","9084.87"
"2012/08/28","9033.29","9138.51","9140.62","8988.99"
"2012/08/29","9069.81","9045.73","9073.99","9033.83"
"2012/08/30","8983.78","9062.07","9062.07","8960.24"
"2012/08/31","8839.91","8891.75","8933.99","8839.91"
"2012/09/03","8783.89","8836.61","8893.39","8773.40"
"2012/09/04","8775.51","8787.97","8804.44","8729.22"
"2012/09/05","8679.82","8756.59","8759.26","8679.82"
"2012/09/06","8680.57","8690.34","8697.00","8646.03"
"2012/09/07","8871.65","8821.37","8871.65","8804.27"
"2012/09/10","8869.37","8853.19","8874.54","8838.18"
"2012/09/11","8807.38","8811.33","8814.03","8769.47"
"2012/09/12","8959.96","8827.21","8959.96","8821.80"
"2012/09/13","8995.15","8950.01","9022.20","8932.10"
"2012/09/14","9159.39","9097.92","9193.27","9081.80"
"2012/09/18","9123.77","9155.49","9180.44","9120.61"
"2012/09/19","9232.21","9166.52","9288.53","9140.75"
"2012/09/20","9086.98","9174.19","9215.57","9079.19"
"2012/09/21","9110.00","9113.30","9159.33","9103.95"
"2012/09/24","9069.29","9071.32","9091.97","9031.13"
"2012/09/25","9091.54","9031.37","9112.54","9023.63"
"2012/09/26","8906.70","8941.75","8971.75","8894.02"
"2012/09/27","8949.87","8856.31","8959.25","8844.06"
"2012/09/28","8870.16","8986.63","8989.08","8838.85"
"2012/10/01","8796.51","8815.07","8829.35","8759.07"
"2012/10/02","8786.05","8826.36","8843.33","8774.75"
"2012/10/03","8746.87","8778.26","8806.75","8729.56"
"2012/10/04","8824.59","8783.13","8865.92","8738.31"
"2012/10/05","8863.30","8850.29","8880.23","8805.79"
"2012/10/09","8769.59","8822.39","8840.69","8765.55"
"2012/10/10","8596.23","8650.55","8660.68","8578.25"
"2012/10/11","8546.78","8514.63","8607.42","8514.63"
"2012/10/12","8534.12","8607.70","8620.18","8516.11"
